"alias","treatment_name","culture","starch_g_per_kg","tuber_FW_kg_per_plant","starch_yield_g_per_plant"
"EA111","drought stress","72275",203.333333333333,0.340133333333333,69.0064
"EA111","drought stress","72292",171.3523,0.214266666666667,36.6354517083333
"EA111","drought stress","72396",219.4361,0.5682,123.89020932
"EA111","drought stress","72482",194.3652231295,0.963,187.206900464063
"EA112","control","72247",238.5,0.933666666666667,226.619
"EA112","control","72275",210.333333333333,1.054,222.310666666667
"EA112","control","72292",181.8053,0.38803,70.4951229163333
"EA112","control","72396",225.7079,1.3224,297.89494016
"EA112","control","72482",198.0575184025,1.463,289.778679037989
"EA112","drought stress","72247",234.833333333333,0.428,100.087333333333
"EA112","drought stress","72275",161,0.338933333333333,54.2288
"EA112","drought stress","72292",203.059733333333,0.203933333333333,41.3797410863333
"EA112","drought stress","72396",245.5686,0.7566,185.88124488
"EA112","drought stress","72482",182.2056374205,1.077,196.191855062162
"EA131","control","72247",201.333333333333,1.56033333333333,312.415
"EA131","control","72275",174.333333333333,1.25826666666667,220.516266666667
"EA131","control","72292",183.199033333333,0.418915,76.7184239973333
"EA131","drought stress","72247",195.166666666667,0.851,167.027
"EA131","drought stress","72275",180.333333333333,0.385733333333333,69.3001333333333
"EA131","drought stress","72292",162.293033333333,0.23052,37.398441563
"EA145","control","72247",248.666666666667,1.16766666666667,290.804666666667
"EA145","control","72275",199.333333333333,1.14466666666667,230.0512
"EA145","control","72292",207.9378,0.387016666666667,80.387421782
"EA145","control","72396",217.3455,0.9886,214.98838892
"EA145","control","72482",199.941483419,0.997,200.935642114925
"EA145","drought stress","72247",185.166666666667,0.824666666666667,151.362666666667
"EA145","drought stress","72275",171.666666666667,0.378,64.6296
"EA145","drought stress","72292",169.2617,0.23788,40.2167813853333
"EA145","drought stress","72396",203.7566,0.6266,127.61116756
"EA145","drought stress","72482",176.282124202,0.884,154.878386849804
"EA154","control","72247",241,1.169,281.007666666667
"EA154","control","72275",207,1.07093333333333,220.794533333333
"EA154","control","72292",210.376833333333,0.34174,71.6207808083333
"EA154","control","72396",199.5754,1.0154,202.72788584
"EA154","control","72482",194.599060103,0.939,182.88444903549
"EA154","drought stress","72247",225,0.542666666666667,122.289333333333
"EA154","drought stress","72275",183,0.351866666666667,64.2033333333333
"EA154","drought stress","72292",208.634666666667,0.199528333333333,41.4176844983333
"EA154","drought stress","72396",231.9797,0.3896,90.3203362
"EA154","drought stress","72482",200.212119785,0.7595,152.170839323029
"EA162","control","72247",215.666666666667,1.4475,311.974833333333
"EA162","control","72275",208.333333333333,1.00133333333333,208.4812
"EA162","control","72292",199.923833333333,0.379161666666667,75.77338696
"EA162","control","72396",231.9797,1.296,299.4059654
"EA162","control","72482",192.5154277475,1.372,264.277958340984
"EA162","drought stress","72247",178.166666666667,0.869666666666667,154.798
"EA162","drought stress","72275",182.666666666667,0.285066666666667,52.5104
"EA162","drought stress","72292",148.3557,0.219731666666667,32.5409206193333
"EA162","drought stress","72396",223.6173,0.5638,126.76219584
"EA162","drought stress","72482",195.5999273795,1.008,197.134358690577
"EA165","control","72247",250,0.983,245.644
"EA165","control","72275",221.666666666667,1.24906666666667,276.7524
"EA165","control","72292",192.606733333333,0.364881666666667,70.1862346366667
"EA165","control","72396",230.9344,1.1692,269.84292496
"EA165","control","72482",208.91859447,1.164,243.36546350688
"EA165","drought stress","72247",204.5,0.420333333333333,85.4336666666667
"EA165","drought stress","72275",196,0.407466666666667,80.2498666666667
"EA165","drought stress","72292",219.087666666667,0.162166666666667,35.352617243
"EA165","drought stress","72396",237.2062,0.6012,142.8458596
"EA165","drought stress","72482",174.5843220685,0.918,160.550274605231
"EA172","control","72247",222.666666666667,0.815,184.705333333333
"EA172","control","72275",198.333333333333,1.1852,234.574266666667
"EA172","control","72292",186.334933333333,0.398441666666667,74.1416823226667
"EA172","control","72396",216.3002,1.3194,284.86090704
